helsingborg-stad/modularity-local-events	3.1.2	4d959a1a3d1834ab0a835409b5e6e2a4ecda8d20
helsingborg-stad/modularity-open-street-map	2.7.6	b9bfe41b9b7928aa7ead3834e2c899df44d98b06
helsingborg-stad/modularity-products	3.0.17	1b939a328c0d8fed53a3849f7bfcd83e2e8944ff
helsingborg-stad/modularity-recommend	3.0.10	47bd40b3adcf775a822ca37a8476c8129d8442cc
helsingborg-stad/modularity-sections	3.1.4	ba0032dde9e96f6238d7bf75139c988522547423
helsingborg-stad/modularity-testimonials	3.0.3	a74a0a744d3da91ce3d9cebd05d0062e3887a15f
helsingborg-stad/modularity-timeline	4.1.1	ef778b7e3ea20bc24209d17f8de0921dc0975035
helsingborg-stad/multi-network-urls	2.0.0	5161a69b32ac78c17df83e7fdb4254de1cd45313
helsingborg-stad/multisite-role-propagation	3.0.6	52ac1a2c65a0d772707b6babcbfe24e0f3de2e7e
helsingborg-stad/municipio	5.153.5	ffcd12b58b79da014f909586386eab8110d9e39b
helsingborg-stad/redirection-extended	3.0.5	3221b6700c6fe86ee2a9ed4a6bd792b5b6a4c3a4
helsingborg-stad/s3-uploads-custom-endpoint	2.0.0	e9b66b4747a83ec2c3c13ebc81d37857e1c4230f
helsingborg-stad/schema-library	0.2.3	05824020974a5bf0b872aa31c6a3169506f5b295
helsingborg-stad/search-notices	3.0.3	47ca37b80c4467e1220820d7912f599f68c23902
helsingborg-stad/visit-custom-posttypes-taxonomies	2.0.6	56fc72ba0a4f53950d51267e8550eac5209f9b87
helsingborg-stad/webhooks-manager	1.3.0	489171f3241f30d7fc291c17123d6a0a1b14e7fd
helsingborg-stad/wp-page-for-post-type	2.0.3	5375a9d21d498411d6d72734e1a9210d4589e75e
helsingborg-stad/wp-search-statistics	1.0.3	0bc49cf7ee6091e46a1d2a607a21120d75272eaa
helsingborg-stad/wpmu-acf-google-maps-key	1.0.0	42ea1e32260b93f9a09cecbbd716b2b30947fee2
helsingborg-stad/wpmu-correct-file-paths	1.2.1	6648bfb7dfb4ce97e32494f378ceaf86e97e8d5d
helsingborg-stad/wpmu-focus-point	0.2.3	c452217ef1146e618b770ce13c2e70c3dcb992ee
helsingborg-stad/wpmu-invalidate-login-pagecache	1.1.0	a9ca919f5e1e1245bdacd1957a4c5822309e5468
helsingborg-stad/wpmu-litespeed-common-settings	2.0.1	43e5be16d6f4e72fec5c8e7527ba938f24ff142a
helsingborg-stad/wpmu-mu-plugins-url-everywhere	2.0.2	933adcf7579b02eef41d119a9146ea0038f9fcd4
helsingborg-stad/wpmu-network-admin-url	2.0.3	5d0b2aa8a04306d90ff2934d87a67f5925cef625
helsingborg-stad/wpmu-propagate-miniorange-saml-sso-settings	0.1.3	db99304e3666d5ed2fe9d0198786019e9e02ce98
helsingborg-stad/wpmu-remove-user-endpoint	0.2.2	cf071ea2dab48cc9df52b26ebe5ab07f19a2fa52
helsingborg-stad/wpmu-security	1.3.4	9b52b94608fa8710fed3aca124947645b05333e0
helsingborg-stad/wpservice	2.0.8	5fa494bbb8ac3a8ca8e969715772bb35424df9cc
helsingborg/modularity-dynamic-guides	1.4.9	087c66b801557d040848a0adb7b309f4ed16b699
http-interop/http-factory-diactoros	1.0.0	7d19904a7e1047d316211e4453a30f5bdd504294
